price,amenities,sterne,adress,ID
116.73529411764706,"['Bademäntel', 'Klimaanlage', 'Sitzgruppe', 'Kühlschrank', 'Betten in Überlänge', 'Badewanne/Dusche', 'Kostenlose Toilettenartikel', 'Haartrockner', 'Nichtraucherzimmer', 'Suiten', 'Familienzimmer', 'Kostenpflichtiger Privatparkplatz in der Umgebung', 'Kostenloses Frühstück', 'Wandern', 'Babysitting', 'Aktivitäten für Kinder (kinder-/familienfreundlich)', 'Flughafentransfer', 'Solarium', 'Gepäckaufbewahrung', 'Hochstühle verfügbar', 'Shuttle-Busservice', 'Autovermietung', 'Nichtraucherhotel']",['None'],['2 Piano Corso Arnaldo Lucci N. 149 Di Fronte Alla Stazione Centrale Ferroviaria'],12603722
85.58100558659218,[],"3,0",['Via Mario Palermo 235'],19657288
49.1044776119403,"['Englisch', 'Französisch', 'Italienisch', 'Schreibtisch', 'Telefon', 'Weckdienst/Wecker', 'Flachbildfernseher', 'Nichtraucherzimmer', 'Kostenpflichtiger Privatparkplatz in der Umgebung', 'Kostenloser Internetzugang', 'WLAN', 'Kostenloses Frühstück', 'Frühstück auf dem Zimmer', 'Gepäckaufbewahrung', 'Concierge', 'Rund um die Uhr besetzte Rezeption', 'Nichtraucherhotel', 'Englisch', 'Französisch', 'Italienisch']","2,0",['Via Milano 96'],235110
51.54761904761905,"['Englisch', 'Italienisch', 'Klimaanlage', 'Kleiderständer', 'Badewanne/Dusche', 'Haartrockner', 'Nichtraucherzimmer', 'Familienzimmer', 'Kostenlose Parkplätze', 'Kostenpflichtiger Privatparkplatz in der Umgebung', 'Kostenloses Highspeed-Internet (WLAN)', 'Aktivitäten für Kinder (kinder-/familienfreundlich)', 'Shuttle-Busservice', 'Gepäckaufbewahrung', 'Nichtraucherhotel', 'Express-Check-in/-Check-out', 'Sicherer Parkplatz', 'Englisch', 'Italienisch']",['None'],['Via Torino 53'],2387703
94.83333333333333,"['Englisch', 'Italienisch', 'Schallisolierte Zimmer', 'Klimaanlage', 'Zimmerreinigung', 'Miteinander verbundene Zimmer verfügbar', 'Safe', 'Kleiderschrank/Einbauschrank', 'Eigene Badezimmer', 'Kachel-/Marmorboden', 'Blick auf die Stadt', 'Nichtraucherzimmer', 'Kostenloser öffentlicher Parkplatz in der Umgebung', 'Kostenloses Highspeed-Internet (WLAN)', 'Aktivitäten für Kinder (kinder-/familienfreundlich)', 'Haustiere erlaubt (tierfreundlich)', 'Concierge', 'Nichtraucherhotel', 'Express-Check-in/-Check-out', 'Privater Check-in/Check-out', 'Kostenpflichtiger öffentlicher Parkplatz in der Umgebung', 'WLAN', 'Gemeinschaftsraum/gemeinsamer TV-Bereich', 'Englisch', 'Italienisch']","3,0",['Vico Purgatorio Ad Arco 7'],563686
131.89473684210526,[],"4,0",['Calata San Marco 24'],21278381
121.35897435897436,"['Englisch', 'Spanisch', 'Italienisch', 'Schallisolierte Zimmer', 'Klimaanlage', 'Zimmerreinigung', 'Eigener Balkon', 'Abgefülltes Trinkwasser in Flaschen', 'Kleiderständer', 'Kaffee- und Teebereiter', 'Mikrowelle', 'Blick auf die Stadt', 'Familienzimmer', 'Kostenpflichtiger Privatparkplatz in der Umgebung', 'Kostenloses Highspeed-Internet (WLAN)', 'Internet', 'Kostenloses Frühstück', 'Frühstücksbuffet', 'Haustiere erlaubt (tierfreundlich)', 'Taxi-Service', 'Express-Check-in/-Check-out', 'Bügeleisen', 'Eigene Badezimmer', 'Kachel-/Marmorboden', 'Minibar', 'Kühlschrank', 'Frühstück auf dem Zimmer', 'Englisch', 'Spanisch', 'Italienisch']",['None'],['Via Vincenzo Bellini 40'],19120379
74.6896551724138,"['Englisch', 'Spanisch', 'Italienisch', 'Klimaanlage', 'Schreibtisch', 'Safe', 'Abgefülltes Trinkwasser in Flaschen', 'Minibar', 'Kühlschrank', 'Flachbildfernseher', 'Badewanne/Dusche', 'Kostenpflichtiger Privatparkplatz in der Umgebung', 'Kostenloses Highspeed-Internet (WLAN)', 'Kostenloses Frühstück', 'Darts', 'Haustiere erlaubt (tierfreundlich)', 'Tagungsräume', 'Salon', 'Gepäckaufbewahrung', 'Haartrockner', 'Parkhaus', 'Bar/Lounge', 'Café', 'Restaurant', 'Frühstück auf dem Zimmer', 'Kinderteller', 'Snackbar', 'Wein/Champagner', 'Lebensmittelgeschäft', 'Geschenk-Shop', 'Nichtraucherhotel', 'Geschäfte', 'Wäscheservice', 'Englisch', 'Spanisch', 'Italienisch']",['None'],['Via Giulio Cesare 146'],3784701
37.39393939393939,[],['None'],['Via Carriera Grande 32'],17709772
0,"['Englisch', 'Italienisch', 'Zimmer für Allergiker', 'Schallisolierte Zimmer', 'Klimaanlage', 'Zusätzliches Badezimmer', 'Schreibtisch', 'Zimmerreinigung', 'Minibar', 'Kostenlose Toilettenartikel', 'Nichtraucherzimmer', 'Kostenloses Highspeed-Internet (WLAN)', 'Internet', 'Kostenloses Frühstück', 'Frühstück auf dem Zimmer', 'Aktivitäten für Kinder (kinder-/familienfreundlich)', 'Flughafentransfer', 'Gepäckaufbewahrung', 'Nichtraucherhotel', 'Zimmerservice', 'Abgefülltes Trinkwasser in Flaschen', 'Kleiderständer', 'Bügeleisen', 'Haartrockner', 'Shuttle-Busservice', 'Autovermietung', 'Englisch', 'Italienisch']",['None'],['Piazza Giuseppe Garibaldi 60 Stazione Centrale'],8687345
